country,value,year
ad,5.182,2024
ae,20.131,2024
af,0.254,2024
ag,7.092,2024
al,1.592,2024
am,2.499,2024
ao,0.589,2024
ar,3.743,2024
at,6.180,2024
au,14.477,2024
aw,8.518,2024
az,3.853,2024
ba,6.139,2024
bb,4.833,2024
bd,0.624,2024
be,7.280,2024
bf,0.276,2024
bg,4.679,2024
bh,24.270,2024
bi,0.065,2024
bj,0.419,2024
bm,8.506,2024
bn,26.046,2024
bo,2.313,2024
br,2.278,2024
bs,7.650,2024
bt,2.094,2024
bw,2.960,2024
by,6.163,2024
bz,1.909,2024
ca,13.420,2024
cd,0.054,2024
cf,0.074,2024
cg,1.396,2024
ch,3.595,2024
ci,0.464,2024
cl,3.983,2024
cm,0.331,2024
cn,8.658,2024
co,1.752,2024
cr,1.708,2024
cu,2.226,2024
cv,1.131,2024
cw,12.344,2024
cy,5.374,2024
cz,7.044,2024
de,6.769,2024
dj,0.483,2024
dk,4.746,2024
dm,2.580,2024
do,2.899,2024
dz,4.234,2024
ec,2.535,2024
ee,6.105,2024
eg,2.217,2024
er,0.210,2024
es,4.599,2024
et,0.135,2024
fi,5.301,2024
fj,1.556,2024
fm,1.331,2024
fo,13.089,2024
fr,3.969,2024
ga,2.126,2024
gb,4.526,2024
gd,3.216,2024
ge,3.095,2024
gh,0.611,2024
gl,11.080,2024
gm,0.291,2024
gn,0.273,2024
gq,3.704,2024
gr,5.311,2024
gt,1.080,2024
gw,0.155,2024
gy,5.427,2024
hk,4.494,2024
hn,1.187,2024
hr,4.765,2024
ht,0.252,2024
hu,4.136,2024
id,2.865,2024
ie,6.339,2024
il,5.607,2024
in,2.201,2024
iq,5.074,2024
ir,8.656,2024
is,9.667,2024
it,5.088,2024
jm,2.959,2024
jo,2.010,2024
jp,7.772,2024
ke,0.376,2024
kg,1.638,2024
kh,1.241,2024
ki,0.539,2024
km,0.637,2024
kn,5.542,2024
kp,2.360,2024
kr,11.286,2024
kw,26.248,2024
kz,13.937,2024
la,3.140,2024
lb,2.696,2024
lc,2.987,2024
li,3.299,2024
lk,0.901,2024
lr,0.153,2024
ls,1.100,2024
lt,4.387,2024
lu,10.460,2024
lv,3.452,2024
ly,8.842,2024
ma,1.814,2024
md,1.755,2024
me,3.722,2024
mg,0.142,2024
mh,4.112,2024
mk,3.631,2024
ml,0.285,2024
mm,0.580,2024
mn,12.860,2024
mo,1.467,2024
mr,1.013,2024
mt,3.204,2024
mu,3.677,2024
mv,4.369,2024
mw,0.087,2024
mx,3.523,2024
my,8.162,2024
mz,0.249,2024
na,1.145,2024
nc,18.064,2024
ne,0.117,2024
ng,0.584,2024
ni,0.814,2024
nl,6.297,2024
no,6.668,2024
np,0.633,2024
nr,5.130,2024
nz,6.229,2024
om,15.651,2024
pa,2.805,2024
pe,2.053,2024
pf,3.275,2024
pg,0.789,2024
ph,1.510,2024
pk,0.716,2024
pl,7.080,2024
ps,0.870,2024
pt,3.409,2024
pw,12.760,2024
py,1.145,2024
qa,41.271,2024
ro,3.605,2024
rs,6.238,2024
ru,12.295,2024
rw,0.143,2024
sa,20.379,2024
sb,0.360,2024
sc,5.003,2024
sd,0.353,2024
se,3.592,2024
sg,9.245,2024
si,6.018,2024
sk,5.283,2024
sl,0.166,2024
sn,0.762,2024
so,0.069,2024
sr,4.709,2024
ss,0.142,2024
st,0.602,2024
sv,1.416,2024
sx,16.546,2024
sy,1.288,2024
sz,0.841,2024
tc,8.136,2024
td,0.139,2024
tg,0.328,2024
th,3.736,2024
tj,1.014,2024
tl,0.477,2024
tm,10.809,2024
tn,2.661,2024
to,1.464,2024
tr,5.865,2024
tt,22.932,2024
tv,1.183,2024
tz,0.292,2024
ua,3.764,2024
ug,0.127,2024
us,14.197,2024
uy,2.354,2024
uz,3.829,2024
vc,2.541,2024
ve,4.085,2024
vg,4.874,2024
vn,3.673,2024
vu,0.601,2024
ws,1.126,2024
ye,0.249,2024
za,6.872,2024
zm,0.565,2024
zw,0.824,2024
