country,value,year
ae,68.0,2024
af,17.0,2024
al,42.0,2024
am,47.0,2024
ao,32.0,2024
ar,37.0,2024
at,67.0,2024
au,77.0,2024
az,22.0,2024
ba,33.0,2024
bb,68.0,2024
bd,23.0,2024
be,69.0,2024
bf,41.0,2024
bg,43.0,2024
bh,53.0,2024
bi,17.0,2024
bj,45.0,2024
bn,60.0,2020
bo,28.0,2024
br,34.0,2024
bs,65.0,2024
bt,72.0,2024
bw,57.0,2024
by,33.0,2024
ca,75.0,2024
cd,20.0,2024
cf,24.0,2024
cg,23.0,2024
ch,81.0,2024
ci,45.0,2024
cl,63.0,2024
cm,26.0,2024
cn,43.0,2024
co,39.0,2024
cr,58.0,2024
cu,41.0,2024
cv,62.0,2024
cy,56.0,2024
cz,56.0,2024
de,75.0,2024
dj,31.0,2024
dk,90.0,2024
dm,60.0,2024
do,36.0,2024
dz,34.0,2024
ec,32.0,2024
ee,76.0,2024
eg,30.0,2024
er,13.0,2024
es,56.0,2024
et,37.0,2024
fi,88.0,2024
fj,55.0,2024
fr,67.0,2024
ga,27.0,2024
gb,71.0,2024
gd,56.0,2024
ge,53.0,2024
gh,42.0,2024
gm,38.0,2024
gn,28.0,2024
gq,13.0,2024
gr,49.0,2024
gt,25.0,2024
gw,21.0,2024
gy,39.0,2024
hk,74.0,2024
hn,22.0,2024
hr,47.0,2024
ht,16.0,2024
hu,41.0,2024
id,37.0,2024
ie,77.0,2024
il,64.0,2024
in,38.0,2024
iq,26.0,2024
ir,23.0,2024
is,77.0,2024
it,54.0,2024
jm,44.0,2024
jo,49.0,2024
jp,71.0,2024
ke,32.0,2024
kg,25.0,2024
kh,21.0,2024
km,21.0,2024
kp,15.0,2024
kr,64.0,2024
kw,46.0,2024
kz,40.0,2024
la,33.0,2024
lb,22.0,2024
lc,59.0,2024
lk,32.0,2024
lr,27.0,2024
ls,37.0,2024
lt,63.0,2024
lu,81.0,2024
lv,59.0,2024
ly,13.0,2024
ma,37.0,2024
md,43.0,2024
me,46.0,2024
mg,26.0,2024
mk,40.0,2024
ml,27.0,2024
mm,16.0,2024
mn,33.0,2024
mr,30.0,2024
mt,46.0,2024
mu,51.0,2024
mv,38.0,2024
mw,34.0,2024
mx,26.0,2024
my,50.0,2024
mz,25.0,2024
na,49.0,2024
ne,34.0,2024
ng,26.0,2024
ni,14.0,2024
nl,78.0,2024
no,81.0,2024
np,34.0,2024
nz,83.0,2024
om,55.0,2024
pa,33.0,2024
pe,31.0,2024
pg,31.0,2024
ph,33.0,2024
pk,27.0,2024
pl,53.0,2024
pr,63.0,2014
pt,57.0,2024
py,24.0,2024
qa,59.0,2024
ro,46.0,2024
rs,35.0,2024
ru,22.0,2024
rw,57.0,2024
sa,59.0,2024
sb,43.0,2024
sc,72.0,2024
sd,15.0,2024
se,80.0,2024
sg,84.0,2024
si,60.0,2024
sk,49.0,2024
sl,33.0,2024
sn,45.0,2024
so,9.0,2024
sr,40.0,2024
ss,8.0,2024
st,45.0,2024
sv,30.0,2024
sy,12.0,2024
sz,27.0,2024
td,21.0,2024
tg,32.0,2024
th,34.0,2024
tj,19.0,2024
tl,44.0,2024
tm,17.0,2024
tn,39.0,2024
tr,34.0,2024
tt,41.0,2024
tz,41.0,2024
ua,35.0,2024
ug,26.0,2024
us,65.0,2024
uy,76.0,2024
uz,32.0,2024
vc,63.0,2024
ve,10.0,2024
vn,40.0,2024
vu,50.0,2024
ye,13.0,2024
za,41.0,2024
zm,39.0,2024
zw,21.0,2024
