country,value,year
ad,0.6579,2024
ae,0.6345,2024
af,0.1879,2023
ag,0.7052,2024
al,0.4261,2024
am,0.3749,2024
ao,0.2635,2024
ar,0.4591,2024
at,0.7690,2024
au,0.8959,2024
aw,0.7798,2024
az,0.2903,2024
ba,0.3737,2024
bb,1.0694,2024
bd,0.2688,2024
be,0.7623,2024
bf,0.3391,2024
bg,0.4193,2024
bh,0.4430,2024
bi,0.1836,2024
bj,0.3350,2024
bm,1.1497,2024
bn,0.3689,2024
bo,0.3433,2024
br,0.4616,2024
bs,0.9577,2024
bt,0.2363,2023
bw,0.3747,2024
by,0.2520,2024
bz,0.5354,2024
ca,0.8402,2024
cd,0.3566,2024
cf,0.4086,2024
cg,0.3533,2024
ch,1.0777,2024
ci,0.3557,2024
cl,0.4618,2024
cm,0.3274,2024
cn,0.4908,2024
co,0.3543,2024
cr,0.5975,2024
cv,0.4638,2024
cw,0.6984,2024
cy,0.6138,2024
cz,0.5523,2024
de,0.7586,2024
dj,0.4549,2024
dk,0.8775,2024
dm,0.4885,2024
do,0.3949,2024
dz,0.3265,2024
ec,0.4340,2024
ee,0.6236,2024
eg,0.1748,2024
er,0.3276,2021
es,0.6084,2024
et,0.3449,2024
fi,0.8161,2024
fj,0.4159,2024
fm,0.9584,2024
fo,0.9049,2024
fr,0.7374,2024
ga,0.3826,2024
gb,0.8489,2024
gd,0.5801,2024
ge,0.3267,2024
gh,0.2981,2024
gl,0.7420,2023
gm,0.2507,2024
gn,0.3713,2024
gq,0.3840,2024
gr,0.5575,2024
gt,0.4280,2024
gw,0.3231,2024
gy,0.3702,2024
hk,0.7191,2024
hn,0.4577,2024
hr,0.4854,2024
ht,0.6709,2024
hu,0.4801,2024
id,0.2994,2024
ie,0.8019,2024
il,0.9466,2024
in,0.2415,2024
iq,0.4199,2024
ir,0.2612,2024
is,1.0275,2024
it,0.6490,2024
jm,0.6015,2024
jo,0.4268,2024
jp,0.6241,2024
ke,0.3210,2024
kg,0.3021,2024
kh,0.3299,2024
ki,0.6182,2024
km,0.4200,2024
kn,0.6876,2024
kr,0.5936,2024
kw,0.6239,2024
ky,1.1212,2023
kz,0.3462,2024
la,0.2173,2024
lb,0.2766,2023
lc,0.5144,2024
lk,0.2889,2024
lr,0.4551,2024
ls,0.3238,2024
lt,0.5315,2024
lu,0.8828,2024
lv,0.5374,2024
ly,0.4593,2024
ma,0.3988,2024
md,0.4070,2024
me,0.3894,2024
mg,0.2893,2024
mh,0.9429,2024
mk,0.3442,2024
ml,0.3302,2024
mm,0.2266,2024
mn,0.3526,2024
mo,0.5671,2024
mr,0.2864,2024
mt,0.6283,2024
mu,0.3766,2024
mv,0.5110,2024
mw,0.2813,2024
mx,0.5417,2024
my,0.3062,2024
mz,0.3851,2024
na,0.3776,2024
ne,0.3587,2024
ng,0.1193,2024
ni,0.3270,2024
nl,0.7917,2024
no,0.8508,2024
np,0.2523,2024
nr,0.9602,2024
nz,0.8860,2024
om,0.4860,2024
pa,0.4632,2024
pe,0.4748,2024
pg,0.6168,2024
ph,0.3379,2024
pk,0.2365,2024
pl,0.4897,2024
pr,0.7830,2024
ps,0.5931,2024
pt,0.5585,2024
pw,0.8563,2023
py,0.3464,2024
qa,0.6084,2024
ro,0.4092,2024
rs,0.4166,2024
ru,0.3141,2024
rw,0.2694,2024
sa,0.4921,2024
sb,0.7229,2024
sc,0.5373,2024
sd,0.4654,2024
se,0.8034,2024
sg,0.6017,2024
si,0.5958,2024
sk,0.5433,2024
sl,0.2290,2024
sm,0.7604,2023
sn,0.3497,2024
so,0.3930,2024
sr,0.3193,2024
ss,0.6664,2021
st,0.5592,2024
sv,0.4207,2024
sx,0.7713,2024
sy,0.1822,2023
sz,0.3313,2024
tc,0.9882,2024
td,0.3506,2024
tg,0.3326,2024
th,0.2973,2024
tj,0.2481,2024
tl,0.3012,2024
tm,0.3232,2024
tn,0.2879,2024
to,0.7243,2023
tr,0.3482,2024
tt,0.5157,2024
tv,1.0315,2023
tz,0.2812,2024
ua,0.2905,2024
ug,0.3293,2024
us,1.0000,2024
uy,0.6564,2024
uz,0.2662,2024
vc,0.5407,2024
ve,0.6250,2011
vi,0.8901,2022
vn,0.2879,2024
vu,0.9460,2024
ws,0.6173,2024
ye,0.4357,2013
za,0.4055,2024
zm,0.2816,2024
zw,0.4212,2024
