country,value,year
ae,3.07,2024
af,0.25,2024
al,6.20,2024
am,5.35,2024
ao,4.05,2024
ar,6.51,2024
at,8.28,2024
au,8.85,2024
az,2.80,2024
ba,5.06,2024
bd,4.44,2024
be,7.64,2024
bf,2.55,2024
bg,6.34,2024
bh,2.45,2024
bi,2.13,2024
bj,4.44,2024
bo,4.26,2024
br,6.49,2024
bt,5.65,2024
bw,7.63,2024
by,1.99,2024
ca,8.69,2024
cd,1.92,2024
cf,1.18,2024
cg,2.79,2024
ch,9.32,2024
ci,4.22,2024
cl,7.83,2024
cm,2.56,2024
cn,2.11,2024
co,6.35,2024
cr,8.29,2024
cu,2.58,2024
cv,7.58,2024
cy,7.38,2024
cz,8.08,2024
de,8.73,2024
dj,2.70,2024
dk,9.28,2024
do,6.62,2024
dz,3.55,2024
ec,5.24,2024
ee,8.13,2024
eg,2.79,2024
er,1.97,2024
es,8.13,2024
et,3.24,2024
fi,9.30,2024
fj,5.39,2024
fr,7.99,2024
ga,2.18,2024
gb,8.34,2024
ge,4.70,2024
gh,6.24,2024
gm,4.47,2024
gn,2.04,2024
gq,1.92,2024
gr,8.07,2024
gt,4.55,2024
gw,2.03,2024
gy,6.11,2024
hk,5.09,2024
hn,4.98,2024
hr,6.50,2024
ht,2.74,2024
hu,6.51,2024
id,6.44,2024
ie,9.19,2024
il,7.80,2024
in,7.29,2024
iq,2.80,2024
ir,1.96,2024
is,9.38,2024
it,7.58,2024
jm,6.74,2024
jo,3.28,2024
jp,8.48,2024
ke,5.05,2024
kg,3.52,2024
kh,2.94,2024
km,2.84,2024
kp,1.08,2024
kr,7.75,2024
kw,2.78,2024
kz,3.08,2024
la,1.71,2024
lb,3.56,2024
lk,6.19,2024
lr,5.57,2024
ls,6.06,2024
lt,7.59,2024
lu,8.88,2024
lv,7.66,2024
ly,2.31,2024
ma,4.97,2024
md,6.04,2024
me,6.73,2024
mg,5.33,2024
mk,6.28,2024
ml,2.40,2024
mm,0.96,2024
mn,6.53,2024
mr,3.96,2024
mt,7.93,2024
mu,8.23,2024
mw,5.85,2024
mx,5.32,2024
my,7.11,2024
mz,3.38,2024
na,6.48,2024
ne,2.26,2024
ng,4.16,2024
ni,2.09,2024
nl,9.00,2024
no,9.81,2024
np,4.60,2024
nz,9.61,2024
om,3.05,2024
pa,6.84,2024
pe,5.69,2024
pg,5.97,2024
ph,6.63,2024
pk,2.84,2024
pl,7.40,2024
ps,3.44,2024
pt,8.08,2024
py,5.92,2024
qa,3.17,2024
ro,5.99,2024
rs,6.26,2024
ru,2.03,2024
rw,3.34,2024
sa,2.08,2024
sd,1.46,2024
se,9.39,2024
sg,6.18,2024
si,7.82,2024
sk,7.21,2024
sl,4.32,2024
sn,5.93,2024
sr,6.79,2024
sv,4.61,2024
sy,1.32,2024
sz,2.60,2024
td,1.89,2024
tg,2.99,2024
th,6.27,2024
tj,1.83,2024
tl,7.03,2024
tm,1.66,2024
tn,4.71,2024
tr,4.26,2024
tt,7.09,2024
tz,5.20,2024
ua,4.90,2024
ug,4.49,2024
us,7.85,2024
uy,8.67,2024
uz,2.10,2024
ve,2.25,2024
vn,2.62,2024
ye,1.95,2024
za,7.16,2024
zm,5.73,2024
zw,2.98,2024
