country,value,year
ad,43.2,2023
ae,31.2,2023
af,16.9,2023
ag,35.5,2023
al,36.3,2023
am,35.8,2023
ao,16.5,2023
ar,32.1,2023
as,28.4,2023
at,43.1,2023
au,37.8,2023
aw,41.0,2023
az,32.6,2023
ba,44.9,2023
bb,38.9,2023
bd,25.3,2023
be,41.4,2023
bf,17.3,2023
bg,44.3,2023
bh,32.9,2023
bi,15.9,2023
bj,17.8,2023
bm,45.1,2023
bn,31.8,2023
bo,24.7,2023
br,33.9,2023
bs,34.6,2023
bt,29.4,2023
bw,22.9,2023
by,40.5,2023
bz,25.9,2023
ca,40.3,2023
cd,15.8,2023
cf,14.3,2023
cg,18.3,2023
ch,42.3,2023
ci,18.1,2023
cl,36.0,2023
cm,17.8,2023
cn,39.1,2023
co,31.6,2023
cr,34.1,2023
cu,41.7,2023
cv,27.9,2023
cw,38.2,2023
cy,37.8,2023
cz,42.7,2023
de,45.1,2023
dj,24.4,2023
dk,41.2,2023
dm,35.6,2023
do,27.7,2023
dz,28.2,2023
ec,28.4,2023
ee,41.9,2023
eg,24.0,2023
er,18.7,2023
es,44.9,2023
et,18.7,2023
fi,42.8,2023
fj,27.7,2023
fm,22.9,2023
fo,37.3,2023
fr,41.8,2023
ga,21.5,2023
gb,39.8,2023
gd,33.4,2023
ge,36.8,2023
gh,20.9,2023
gi,38.9,2023
gl,34.2,2023
gm,18.2,2023
gn,18.0,2023
gq,21.0,2023
gr,45.7,2023
gt,22.6,2023
gu,31.1,2023
gw,18.9,2023
gy,25.6,2023
hk,46.2,2023
hn,23.5,2023
hr,44.8,2023
ht,23.5,2023
hu,43.3,2023
id,29.8,2023
ie,38.4,2023
il,29.1,2023
im,45.7,2023
in,28.1,2023
iq,20.3,2023
ir,32.9,2023
is,35.8,2023
it,47.5,2023
jm,31.7,2023
jo,24.3,2023
jp,49.0,2023
ke,19.5,2023
kg,25.1,2023
kh,25.8,2023
ki,22.7,2023
km,20.3,2023
kn,35.3,2023
kp,36.0,2023
kr,44.5,2023
kw,34.5,2023
ky,37.9,2023
kz,29.5,2023
la,24.3,2023
lb,28.3,2023
lc,33.7,2023
li,44.2,2023
lk,32.8,2023
lr,18.4,2023
ls,21.4,2023
lt,42.1,2023
lu,38.9,2023
lv,43.1,2023
ly,27.2,2023
ma,29.2,2023
mc,54.4,2023
md,37.8,2023
me,39.3,2023
mf,39.4,2023
mg,18.9,2023
mh,20.7,2023
mk,40.3,2023
ml,15.5,2023
mm,29.5,2023
mn,26.8,2023
mo,38.3,2023
mp,36.1,2023
mr,17.1,2023
mt,40.3,2023
mu,36.9,2023
mv,31.1,2023
mw,17.6,2023
mx,28.9,2023
my,30.1,2023
mz,16.3,2023
na,21.0,2023
nc,33.9,2023
ne,15.2,2023
ng,17.8,2023
ni,25.3,2023
nl,41.4,2023
no,39.5,2023
np,24.7,2023
nr,20.4,2023
nz,37.3,2023
om,29.3,2023
pa,29.6,2023
pe,29.5,2023
pf,34.8,2023
pg,22.3,2023
ph,25.3,2023
pk,20.3,2023
pl,41.3,2023
pr,45.3,2023
ps,19.8,2023
pt,46.2,2023
pw,37.8,2023
py,26.3,2023
qa,33.2,2023
ro,42.6,2023
rs,43.9,2023
ru,39.5,2023
rw,19.4,2023
sa,29.2,2023
sb,20.3,2023
sc,33.7,2023
sd,18.3,2023
se,39.9,2023
sg,35.1,2023
si,43.9,2023
sk,41.3,2023
sl,19.3,2023
sm,47.4,2023
sn,19.1,2023
so,15.4,2023
sr,28.1,2023
ss,18.0,2023
st,19.1,2023
sv,27.0,2023
sx,41.6,2023
sy,22.2,2023
sz,22.0,2023
tc,38.3,2023
td,15.4,2023
tg,18.1,2023
th,39.7,2023
tj,21.9,2023
tl,21.0,2023
tm,26.2,2023
tn,32.1,2023
to,20.7,2023
tr,32.5,2023
tt,36.7,2023
tv,24.3,2023
tz,17.2,2023
ua,42.0,2023
ug,16.5,2023
us,38.0,2023
uy,35.8,2023
uz,26.9,2023
vc,33.9,2023
ve,29.0,2023
vg,37.5,2023
vi,44.7,2023
vn,32.4,2023
vu,20.1,2023
ws,19.9,2023
ye,18.2,2023
za,28.2,2023
zm,17.5,2023
zw,17.8,2023
