country,value,year
ad,61.4,2024
ae,30.6,2024
af,19.1,2024
al,54.1,2024
am,71.6,2024
ao,52.4,2024
ar,63.1,2024
at,74.7,2024
au,73.4,2024
az,28.0,2024
ba,58.9,2024
bd,27.6,2024
be,81.5,2024
bf,58.2,2024
bg,65.3,2024
bh,23.2,2024
bi,51.8,2024
bj,56.7,2024
bn,50.1,2024
bo,48.9,2024
br,58.6,2024
bt,37.3,2024
bw,59.8,2024
by,26.8,2024
bz,66.8,2024
ca,81.7,2024
cd,48.9,2024
cf,60.1,2024
cg,62.6,2024
ch,84.0,2024
ci,66.9,2024
cl,67.3,2024
cm,45.0,2024
cn,23.4,2024
co,49.6,2024
cr,76.1,2024
cu,25.6,2024
cv,72.8,2024
cy,63.1,2024
cz,80.1,2024
de,83.8,2024
dj,30.1,2024
dk,89.6,2024
do,73.9,2024
dz,42.0,2024
ec,51.3,2024
ee,86.4,2024
eg,25.1,2024
er,16.6,2024
es,76.0,2024
et,41.4,2024
fi,86.5,2024
fj,71.2,2024
fr,78.7,2024
ga,65.8,2024
gb,77.5,2024
ge,53.0,2024
gh,67.7,2024
gm,65.5,2024
gn,60.0,2024
gq,46.5,2024
gr,57.1,2024
gt,42.3,2024
gw,56.0,2024
gy,60.1,2024
hk,43.1,2024
hn,38.2,2024
hr,68.8,2024
ht,55.9,2024
hu,63.0,2024
id,51.1,2024
ie,85.6,2024
il,53.2,2024
in,31.3,2024
iq,25.5,2024
ir,21.3,2024
is,80.1,2024
it,69.8,2024
jm,77.3,2024
jo,44.3,2024
jp,62.1,2024
ke,53.2,2024
kg,49.1,2024
kh,34.3,2024
km,61.5,2024
kp,20.7,2024
kr,64.9,2024
kw,44.7,2024
kz,41.1,2024
la,33.8,2024
lb,41.9,2024
li,81.5,2024
lk,35.2,2024
lr,65.1,2024
ls,48.9,2024
lt,81.7,2024
lu,83.8,2024
lv,82.9,2024
ly,40.6,2024
ma,46.0,2024
md,74.9,2024
me,73.2,2024
mg,54.1,2024
mk,73.8,2024
ml,50.6,2024
mm,24.4,2024
mn,51.3,2024
mr,74.2,2024
mt,61.0,2024
mu,65.5,2024
mv,52.4,2024
mw,64.5,2024
mx,49.0,2024
my,52.1,2024
mz,52.4,2024
na,74.2,2024
ne,59.7,2024
ng,51.0,2024
ni,29.2,2024
nl,87.7,2024
no,91.9,2024
np,60.5,2024
nz,79.7,2024
om,42.5,2024
pa,58.5,2024
pe,47.8,2024
pg,56.0,2024
ph,43.4,2024
pk,33.9,2024
pl,69.2,2024
ps,31.9,2024
pt,85.9,2024
py,50.5,2024
qa,58.5,2024
ro,68.5,2024
rs,54.5,2024
ru,29.9,2024
rw,40.5,2024
sa,27.1,2024
sc,73.8,2024
sd,35.7,2024
se,88.3,2024
sg,47.2,2024
si,72.6,2024
sk,76.0,2024
sl,64.3,2024
sn,55.4,2024
so,39.4,2024
sr,76.1,2024
ss,42.6,2024
sv,44.0,2024
sy,17.4,2024
sz,58.3,2024
td,54.8,2024
tg,50.9,2024
th,58.1,2024
tj,33.3,2024
tl,78.9,2024
tm,22.0,2024
tn,50.0,2024
to,70.1,2024
tr,31.6,2024
tt,76.7,2024
tz,54.8,2024
ua,65.0,2024
ug,46.0,2024
us,66.6,2024
uy,67.7,2024
uz,37.3,2024
ve,33.1,2024
vn,22.3,2024
ws,78.4,2024
xk,60.2,2024
ye,33.7,2024
za,73.7,2024
zm,55.4,2024
zw,50.3,2024
