country,value,year
ad,37.6,2022
ae,55.7,2024
af,3.1,2021
ag,21.9,2018
al,20.4,2023
am,46.4,2022
ao,2.6,2014
ar,19.6,2022
at,21.3,2023
au,47.5,2024
aw,12.8,2010
az,27.7,2023
ba,12.8,2023
bd,8.1,2023
be,37.9,2023
bf,3.0,2024
bg,26.4,2023
bh,39.8,2024
bi,3.1,2020
bj,5.0,2022
bm,40.8,2016
bn,23.4,2023
bo,30.7,2023
br,22.7,2024
bs,27.9,2023
bt,11.8,2022
bw,29.6,2023
by,60.7,2019
bz,17.1,2022
ca,49.3,2021
cd,7.1,2020
ch,41.6,2024
ci,7.8,2021
cl,22.3,2024
cm,7.1,2014
cn,16.1,2020
co,27.2,2024
cr,20.4,2024
cu,15.1,2012
cv,11.2,2024
cy,43.9,2023
cz,22.0,2023
de,30.2,2022
dj,7.1,2017
dk,38.3,2023
do,12.4,2015
dz,3.1,2011
ec,15.0,2024
ee,39.9,2023
eg,18.1,2023
es,35.4,2024
et,6.3,2021
fi,38.9,2023
fj,5.2,2017
fm,24.0,2014
fr,37.2,2023
gb,48.7,2021
gd,18.5,2023
ge,33.7,2024
gh,9.1,2022
gm,9.0,2023
gn,1.4,2014
gr,29.6,2024
gt,4.2,2023
gw,5.9,2022
gy,5.8,2018
hk,25.3,2024
hn,7.9,2024
hr,25.6,2023
ht,9.3,2012
hu,27.4,2023
id,11.7,2023
ie,51.2,2023
il,38.3,2023
in,12.4,2021
iq,16.6,2021
ir,22.5,2023
is,40.1,2023
it,17.7,2023
jm,15.2,2023
jo,22.0,2023
jp,34.4,2010
ke,5.5,2022
kg,17.6,2009
kh,6.4,2023
ki,1.8,2023
km,12.7,2021
kr,49.6,2024
kw,18.5,2018
ky,38.2,2015
kz,73.9,2018
la,9.6,2022
lb,37.2,2018
lc,9.3,2019
lk,5.5,2024
lr,5.4,2017
ls,1.9,2008
lt,41.3,2023
lu,46.4,2023
lv,36.4,2023
ma,3.7,2014
md,36.2,2024
me,23.7,2020
mg,4.7,2018
mh,17.3,2019
mk,22.5,2024
ml,3.9,2022
mm,9.4,2019
mn,31.2,2023
mo,23.9,2016
mr,2.9,2013
mt,29.5,2023
mu,12.5,2022
mv,11.0,2019
mw,2.0,2020
mx,19.7,2025
my,23.3,2022
mz,2.7,2022
na,11.9,2023
ne,1.3,2022
ng,9.1,2023
ni,9.8,2014
nl,38.9,2023
no,43.3,2023
np,5.8,2017
nz,36.6,2020
om,14.0,2008
pa,15.0,2024
pe,14.9,2024
pf,17.5,2007
pg,10.5,2022
ph,24.8,2022
pk,8.6,2021
pl,33.3,2024
pr,38.6,2020
ps,22.8,2024
pt,25.1,2024
pw,30.7,2020
py,15.9,2020
ro,15.3,2023
rs,25.4,2024
ru,64.1,2021
rw,6.5,2024
sa,43.0,2024
sc,38.8,2020
sd,10.1,2022
se,45.2,2023
sg,53.2,2024
si,34.7,2022
sk,25.4,2023
sl,1.1,2003
sm,18.4,2022
sn,5.2,2022
so,9.6,2019
sr,9.2,2012
ss,10.2,2008
sv,8.5,2023
sy,6.2,2009
sz,18.3,2023
td,3.4,2018
tg,6.4,2022
th,16.7,2024
tj,22.9,2017
tl,22.7,2022
tm,17.4,2022
tn,15.0,2023
to,21.7,2023
tr,21.9,2023
tt,19.2,2023
tv,8.4,2017
tz,1.3,2014
ua,47.8,2021
ug,9.5,2021
us,49.8,2024
uy,13.5,2024
uz,61.5,2022
ve,30.2,2017
vn,14.8,2023
vu,4.6,2020
ws,21.5,2022
ye,5.0,2014
za,17.3,2024
zm,10.1,2023
zw,17.4,2023
